block	timestep	content_hidden_rms_mean	content_hidden_rms_median	content_hidden_rms_std	content_hidden_rms_min	content_hidden_rms_max	content_hidden_rms_q1	content_hidden_rms_q3	style_hidden_rms_mean	style_hidden_rms_median	style_hidden_rms_std	style_hidden_rms_min	style_hidden_rms_max	style_hidden_rms_q1	style_hidden_rms_q3	content_hidden_over_style_hidden_mean	content_hidden_over_style_hidden_median	content_hidden_over_style_hidden_std	content_hidden_over_style_hidden_min	content_hidden_over_style_hidden_max	content_hidden_over_style_hidden_q1	content_hidden_over_style_hidden_q3	content_delta_rms_mean	content_delta_rms_median	content_delta_rms_std	content_delta_rms_min	content_delta_rms_max	content_delta_rms_q1	content_delta_rms_q3	style_delta_rms_mean	style_delta_rms_median	style_delta_rms_std	style_delta_rms_min	style_delta_rms_max	style_delta_rms_q1	style_delta_rms_q3	content_delta_over_style_delta_mean	content_delta_over_style_delta_median	content_delta_over_style_delta_std	content_delta_over_style_delta_min	content_delta_over_style_delta_max	content_delta_over_style_delta_q1	content_delta_over_style_delta_q3	tendency
7	0.9	1.2160770893096924	1.2144075632095337	0.04692050442099571	1.058777928352356	1.3766783475875854	1.185070276260376	1.245796799659729	1.1700966358184814	1.1675351858139038	0.07270815223455429	0.9622824192047119	1.4179731607437134	1.1215211153030396	1.221867561340332	1.0436058044433594	1.0380483865737915	0.08060034364461899	0.8454540371894836	1.3393772840499878	0.9857868552207947	1.0940213203430176	0.30331945419311523	0.3021691143512726	0.03518189862370491	0.1908271610736847	0.44263797998428345	0.2775658965110779	0.32656270265579224	0.1906813383102417	0.18787537515163422	0.03172972425818443	0.10905422270298004	0.3231302499771118	0.16830000281333923	0.2096581608057022	1.6227610111236572	1.603764533996582	0.2634289860725403	0.8360157012939453	2.8404579162597656	1.4408981800079346	1.7870396375656128	content
8	0.1	1.1807818412780762	1.1791189908981323	0.05317120999097824	1.024322509765625	1.3862088918685913	1.1431411504745483	1.216310977935791	1.1546670198440552	1.151871919631958	0.09923010319471359	0.9304949045181274	1.4551873207092285	1.0791068077087402	1.227412462234497	1.030658483505249	1.0269206762313843	0.1047762781381607	0.7687305808067322	1.3530699014663696	0.9485094547271729	1.1057850122451782	0.40821409225463867	0.4046400189399719	0.0619509220123291	0.24848759174346924	0.6557629108428955	0.3652689754962921	0.45085591077804565	0.3165733218193054	0.31238704919815063	0.054463326930999756	0.169466033577919	0.5105173587799072	0.28127700090408325	0.34673944115638733	1.3145428895950317	1.3107479810714722	0.23415608704090118	0.6597539186477661	2.272601842880249	1.1554640531539917	1.465559959411621	content
8	0.5	1.1807818412780762	1.1791189908981323	0.05317120999097824	1.024322509765625	1.3862088918685913	1.1431411504745483	1.216310977935791	1.1546670198440552	1.151871919631958	0.09923010319471359	0.9304949045181274	1.4551873207092285	1.0791068077087402	1.227412462234497	1.030658483505249	1.0269206762313843	0.1047762781381607	0.7687305808067322	1.3530699014663696	0.9485094547271729	1.1057850122451782	0.35907262563705444	0.35510534048080444	0.04859774932265282	0.22707118093967438	0.5366648435592651	0.3250042200088501	0.39033663272857666	0.25622183084487915	0.2513749897480011	0.04612048715353012	0.12323306500911713	0.4429543912410736	0.22368288040161133	0.2846040427684784	1.4366488456726074	1.4305174350738525	0.2716223895549774	0.7427192330360413	2.677123546600342	1.2458643913269043	1.604702353477478	content
8	0.9	1.1807818412780762	1.1791189908981323	0.05317120999097824	1.024322509765625	1.3862088918685913	1.1431411504745483	1.216310977935791	1.1546670198440552	1.151871919631958	0.09923010319471359	0.9304949045181274	1.4551873207092285	1.0791068077087402	1.227412462234497	1.030658483505249	1.0269206762313843	0.1047762781381607	0.7687305808067322	1.3530699014663696	0.9485094547271729	1.1057850122451782	0.3172764182090759	0.3141537308692932	0.04236985370516777	0.20481032133102417	0.46116629242897034	0.2876476049423218	0.3446902632713318	0.21460847556591034	0.21101920306682587	0.04102969542145729	0.09291332960128784	0.39976751804351807	0.18536342680454254	0.24009297788143158	1.5250924825668335	1.499104619026184	0.3217492401599884	0.7575706243515015	3.3767566680908203	1.294630527496338	1.7262929677963257	content
9	0.1	1.304002285003662	1.3010551929473877	0.06086515262722969	1.1279292106628418	1.5736802816390991	1.260282278060913	1.3438918590545654	1.1421103477478027	1.1354469060897827	0.09345235675573349	0.8577715754508972	1.4376373291015625	1.0805257558822632	1.202476143836975	1.1499539613723755	1.1388016939163208	0.11480432748794556	0.8735191226005554	1.6056948900222778	1.0684430599212646	1.2195320129394531	0.6195961236953735	0.6440779566764832	0.1309613585472107	0.2532205879688263	0.9790316224098206	0.5405336022377014	0.713152289390564	0.4877709746360779	0.4894733130931854	0.1264830082654953	0.21135880053043365	0.88860023021698	0.38113534450531006	0.5877015590667725	1.3356226682662964	1.2506498098373413	0.38931265473365784	0.4639507830142975	2.9815497398376465	1.0644875764846802	1.5671677589416504	content
9	0.5	1.304002285003662	1.3010551929473877	0.06086515262722969	1.1279292106628418	1.5736802816390991	1.260282278060913	1.3438918590545654	1.1421103477478027	1.1354469060897827	0.09345235675573349	0.8577715754508972	1.4376373291015625	1.0805257558822632	1.202476143836975	1.1499539613723755	1.1388016939163208	0.11480432748794556	0.8735191226005554	1.6056948900222778	1.0684430599212646	1.2195320129394531	0.5776273608207703	0.5935593843460083	0.105501189827919	0.2535454034805298	0.866562008857727	0.5133709907531738	0.6510718464851379	0.40878018736839294	0.4070822596549988	0.09095656126737595	0.19384917616844177	0.6837901473045349	0.3374865651130676	0.47764819860458374	1.4589329957962036	1.4182199239730835	0.32729560136795044	0.6412328481674194	3.252150058746338	1.219673752784729	1.665298581123352	content
9	0.9	1.304002285003662	1.3010551929473877	0.06086515262722969	1.1279292106628418	1.5736802816390991	1.260282278060913	1.3438918590545654	1.1421103477478027	1.1354469060897827	0.09345235675573349	0.8577715754508972	1.4376373291015625	1.0805257558822632	1.202476143836975	1.1499539613723755	1.1388016939163208	0.11480432748794556	0.8735191226005554	1.6056948900222778	1.0684430599212646	1.2195320129394531	0.5299848318099976	0.5374546051025391	0.08789357542991638	0.2531789243221283	0.7815446853637695	0.4720316231250763	0.591293215751648	0.3399085998535156	0.3374646008014679	0.06852862238883972	0.14978665113449097	0.5588495135307312	0.2893696129322052	0.389503538608551	1.5991780757904053	1.5634715557098389	0.3145419955253601	0.7680538892745972	4.027825832366943	1.3734427690505981	1.7950921058654785	content
10	0.1	1.211798906326294	1.215827465057373	0.06500595062971115	0.9807476997375488	1.4308030605316162	1.1685383319854736	1.2577929496765137	1.6027300357818604	1.593418002128601	0.14755623042583466	1.2317897081375122	2.0232996940612793	1.4839621782302856	1.7046573162078857	0.7625554800033569	0.7579951882362366	0.08181004226207733	0.5417100787162781	1.0592563152313232	0.7040242552757263	0.8216530680656433	0.44175082445144653	0.4509340822696686	0.10166570544242859	0.20580022037029266	0.8077643513679504	0.3585312068462372	0.5159033536911011	0.6462079882621765	0.6563068628311157	0.13087841868400574	0.2713320553302765	1.0372130870819092	0.5545228719711304	0.7366571426391602	0.6939972639083862	0.6794323325157166	0.14669343829154968	0.3586200177669525	1.5342141389846802	0.587227463722229	0.7781781554222107	style
10	0.5	1.211798906326294	1.215827465057373	0.06500595062971115	0.9807476997375488	1.4308030605316162	1.1685383319854736	1.2577929496765137	1.6027300357818604	1.593418002128601	0.14755623042583466	1.2317897081375122	2.0232996940612793	1.4839621782302856	1.7046573162078857	0.7625554800033569	0.7579951882362366	0.08181004226207733	0.5417100787162781	1.0592563152313232	0.7040242552757263	0.8216530680656433	0.3591568171977997	0.3630653917789459	0.07695960998535156	0.16840630769729614	0.6459829211235046	0.300477534532547	0.41112852096557617	0.46494579315185547	0.46457144618034363	0.09448812901973724	0.2320544421672821	0.7864360213279724	0.3954165279865265	0.5261666774749756	0.7843683362007141	0.7661079168319702	0.1512778401374817	0.40121644735336304	1.6685398817062378	0.6783559918403625	0.8789516091346741	style
10	0.9	1.211798906326294	1.215827465057373	0.06500595062971115	0.9807476997375488	1.4308030605316162	1.1685383319854736	1.2577929496765137	1.6027300357818604	1.593418002128601	0.14755623042583466	1.2317897081375122	2.0232996940612793	1.4839621782302856	1.7046573162078857	0.7625554800033569	0.7579951882362366	0.08181004226207733	0.5417100787162781	1.0592563152313232	0.7040242552757263	0.8216530680656433	0.28027355670928955	0.2786242365837097	0.058621596544981	0.12215268611907959	0.4783247411251068	0.23624646663665771	0.3185475468635559	0.3216497600078583	0.3240555226802826	0.07356109470129013	0.14291274547576904	0.5521313548088074	0.2662394046783447	0.3709428906440735	0.8943589925765991	0.8689823746681213	0.18792907893657684	0.4748821258544922	1.84103262424469	0.7589350342750549	1.0049289464950562	style
11	0.1	1.1585451364517212	1.144646167755127	0.09731633216142654	0.918298602104187	1.453434705734253	1.0863687992095947	1.225311040878296	1.607969045639038	1.588036060333252	0.14866600930690765	1.2489211559295654	2.0542237758636475	1.4907290935516357	1.7165721654891968	0.7280415296554565	0.7173293828964233	0.10211155563592911	0.4788665175437927	1.1129897832870483	0.6528050899505615	0.7926461696624756	0.38778194785118103	0.37878915667533875	0.06387434154748917	0.23007503151893616	0.6785397529602051	0.3435092270374298	0.42408883571624756	0.5785160064697266	0.5754683017730713	0.15810619294643402	0.23092491924762726	1.0727994441986084	0.4634222984313965	0.6896822452545166	0.7111669182777405	0.6732861995697021	0.1895451843738556	0.33797040581703186	1.6004270315170288	0.576560914516449	0.8023290634155273	style
11	0.5	1.1585451364517212	1.144646167755127	0.09731633216142654	0.918298602104187	1.453434705734253	1.0863687992095947	1.225311040878296	1.607969045639038	1.588036060333252	0.14866600930690765	1.2489211559295654	2.0542237758636475	1.4907290935516357	1.7165721654891968	0.7280415296554565	0.7173293828964233	0.10211155563592911	0.4788665175437927	1.1129897832870483	0.6528050899505615	0.7926461696624756	0.28967034816741943	0.2836553752422333	0.05498525872826576	0.14497657120227814	0.5054302215576172	0.24976669251918793	0.32445889711380005	0.37645453214645386	0.3790439963340759	0.116376593708992	0.14531145989894867	0.7459016442298889	0.28033503890037537	0.4692373275756836	0.8280107378959656	0.771933376789093	0.24025025963783264	0.42762017250061035	1.893100380897522	0.6451637148857117	0.9650694131851196	style
