sample_pos	sample_index	font	target_char	groups	normal_vs_trimmed_cosine_mean	normal_vs_trimmed_cosine_median	normal_vs_trimmed_cosine_std	normal_vs_trimmed_cosine_min	normal_vs_trimmed_cosine_max	normal_vs_trimmed_cosine_q1	normal_vs_trimmed_cosine_q3	l1_mean	l1_median	l1_std	l1_min	l1_max	l1_q1	l1_q3	rmse_mean	rmse_median	rmse_std	rmse_min	rmse_max	rmse_q1	rmse_q3	max_abs_mean	max_abs_median	max_abs_std	max_abs_min	max_abs_max	max_abs_q1	max_abs_q3	relative_l1_to_normal_abs_mean_mean	relative_l1_to_normal_abs_mean_median	relative_l1_to_normal_abs_mean_std	relative_l1_to_normal_abs_mean_min	relative_l1_to_normal_abs_mean_max	relative_l1_to_normal_abs_mean_q1	relative_l1_to_normal_abs_mean_q3	normal_cross_group_cosine_mean	normal_cross_group_cosine_median	normal_cross_group_cosine_std	normal_cross_group_cosine_min	normal_cross_group_cosine_max	normal_cross_group_cosine_q1	normal_cross_group_cosine_q3	trimmed_cross_group_cosine_mean	trimmed_cross_group_cosine_median	trimmed_cross_group_cosine_std	trimmed_cross_group_cosine_min	trimmed_cross_group_cosine_max	trimmed_cross_group_cosine_q1	trimmed_cross_group_cosine_q3
10	19765	SourceHanSansCN-Light#1	谱	8	0.9987532496452332	0.9987500905990601	0.0002610920637380332	0.9983922839164734	0.9991047382354736	0.9984843134880066	0.9989473819732666	0.0340564139187336	0.03361741453409195	0.0032644912134855986	0.029953503981232643	0.04061505198478699	0.031557533890008926	0.03558863699436188	0.046567246317863464	0.045232538133859634	0.004929231014102697	0.04030448570847511	0.0566900335252285	0.04353930428624153	0.04832950234413147	0.32860779762268066	0.29981741309165955	0.05309932678937912	0.2793477177619934	0.4189453125	0.2927958071231842	0.3516882658004761	0.05001824349164963	0.048383910208940506	0.005923192948102951	0.04229697957634926	0.0575399287045002	0.04469699785113335	0.056406937539577484	0.9797631502151489	0.9796989560127258	0.0042336564511060715	0.9673568606376648	0.9856964945793152	0.9777173399925232	0.9833765625953674	0.9780043959617615	0.9782229661941528	0.0042366511188447475	0.9647623300552368	0.9843230843544006	0.9751642942428589	0.980845034122467
11	151321	方正快盈体 简繁 ExtraBold	细	8	0.9978590607643127	0.9979572296142578	0.0005860927049070597	0.9965288639068604	0.998479962348938	0.9977766275405884	0.9982833862304688	0.03163482993841171	0.030573176220059395	0.0031398311257362366	0.02686566859483719	0.03733924403786659	0.029644925147294998	0.0331152006983757	0.04251207038760185	0.04140164703130722	0.0045289816334843636	0.03559988737106323	0.050674404948949814	0.03958925977349281	0.04480578377842903	0.29762840270996094	0.3022053837776184	0.05123332142829895	0.2121174931526184	0.3605703115463257	0.24948883056640625	0.3415985405445099	0.06322219967842102	0.06102479249238968	0.008375094272196293	0.05351098254323006	0.08009526133537292	0.05689306929707527	0.06534811854362488	0.965211808681488	0.9685840606689453	0.011618660762906075	0.9303131103515625	0.9809940457344055	0.9578880071640015	0.9727756381034851	0.9629259705543518	0.9644271731376648	0.011325908824801445	0.9283438920974731	0.9782403707504272	0.9581254720687866	0.9707848429679871
12	212058	方正盈利体简体 Medium	吧	8	0.9985938668251038	0.9987927079200745	0.0003446605696808547	0.9979297518730164	0.9988989233970642	0.9983320236206055	0.9988512396812439	0.03191636502742767	0.030548837035894394	0.0030812639743089676	0.028554465621709824	0.0373070053756237	0.029464034363627434	0.03394670784473419	0.043186962604522705	0.04090600460767746	0.004486341495066881	0.038665950298309326	0.051461976021528244	0.039547860622406006	0.04620833694934845	0.30023831129074097	0.2844441831111908	0.05969175696372986	0.2075907438993454	0.3906657099723816	0.2640889286994934	0.3408711850643158	0.050690099596977234	0.04688806086778641	0.006680184975266457	0.042923703789711	0.06231056898832321	0.04618125408887863	0.055938273668289185	0.9678382277488708	0.9681327939033508	0.014543971046805382	0.9316285848617554	0.9872703552246094	0.9618743658065796	0.9788643717765808	0.9669156670570374	0.967605710029602	0.014440519735217094	0.9285800457000732	0.9857157468795776	0.9610134959220886	0.9758704900741577
13	161051	方正新综艺黑 简	忆	8	0.9985744953155518	0.9986498951911926	0.00041954891639761627	0.9976940155029297	0.9991164803504944	0.9983435273170471	0.9988321661949158	0.03209951892495155	0.03130915015935898	0.003665353637188673	0.02683093398809433	0.03974996507167816	0.02968250960111618	0.033972736448049545	0.04333097115159035	0.04161419719457626	0.005403392948210239	0.035767484456300735	0.055288948118686676	0.04036897420883179	0.04549125209450722	0.2938181757926941	0.2984619140625	0.03608196601271629	0.22395837306976318	0.35343432426452637	0.2765655517578125	0.310943603515625	0.05257900804281235	0.049725908786058426	0.007671360857784748	0.0417630709707737	0.06696422398090363	0.04747414588928223	0.0577920563519001	0.9702046513557434	0.9722641706466675	0.010495856404304504	0.9430527687072754	0.9858601689338684	0.9655587077140808	0.9762383103370667	0.9671190977096558	0.970077633857727	0.011730995960533619	0.9345679879188538	0.9840281009674072	0.961693286895752	0.9738800525665283
14	146598	方正彩源体简体	默	8	0.9986065626144409	0.9985754489898682	0.0005097230314277112	0.9975366592407227	0.9992191791534424	0.9984384775161743	0.998943567276001	0.027867350727319717	0.027422482147812843	0.004286837764084339	0.022033169865608215	0.03679981082677841	0.02569487877190113	0.029189812019467354	0.03751509264111519	0.03621615469455719	0.006123713217675686	0.029378991574048996	0.050613079220056534	0.03456103429198265	0.03896484151482582	0.28424474596977234	0.2513021230697632	0.06283589452505112	0.19368481636047363	0.388671875	0.2365671992301941	0.3274726867675781	0.050333499908447266	0.04889602214097977	0.00938807800412178	0.03798103705048561	0.06910952180624008	0.044443994760513306	0.053925905376672745	0.9779650568962097	0.979636549949646	0.006746804341673851	0.9622416496276855	0.9869480729103088	0.9732906222343445	0.9829150438308716	0.9771830439567566	0.9784027338027954	0.005367569625377655	0.9657415151596069	0.9854503273963928	0.9737821817398071	0.9813574552536011
15	284488	方正风入松体 简	但	8	0.9985331892967224	0.9987692832946777	0.0007288981578312814	0.9967931509017944	0.9992554187774658	0.9984114170074463	0.9989348649978638	0.02987947314977646	0.028111865743994713	0.006759177893400192	0.022395631298422813	0.045132994651794434	0.026055656373500824	0.03060423582792282	0.04106207937002182	0.037488166242837906	0.010766888968646526	0.030028484761714935	0.06501150131225586	0.03467030078172684	0.04229332506656647	0.30262628197669983	0.25531005859375	0.07697579264640808	0.24042260646820068	0.45345044136047363	0.249053955078125	0.31552761793136597	0.0536741279065609	0.04861630126833916	0.016273442655801773	0.03733851760625839	0.09280282258987427	0.04493805021047592	0.05547891557216644	0.9768339395523071	0.9777612090110779	0.008056520484387875	0.9573972821235657	0.9881641864776611	0.9715821743011475	0.9827718734741211	0.976261556148529	0.9768148064613342	0.007434546481817961	0.9600307941436768	0.9872929453849792	0.9718341827392578	0.9816873669624329
16	5514	MiSans-ExtraLight	泛	8	0.9982665181159973	0.9986015558242798	0.0009401242714375257	0.9958964586257935	0.9991002678871155	0.9982122778892517	0.9987131953239441	0.036261722445487976	0.03250603377819061	0.010640663094818592	0.027791257947683334	0.06337374448776245	0.03069174848496914	0.036211028695106506	0.050068750977516174	0.043679364025592804	0.016340186819434166	0.0372791588306427	0.09177106618881226	0.04186128079891205	0.05007338896393776	0.38350749015808105	0.2996928095817566	0.15389761328697205	0.2526448667049408	0.7610678672790527	0.28349196910858154	0.3950398564338684	0.05937216430902481	0.053480152040719986	0.01941089704632759	0.041875019669532776	0.10855956375598907	0.0500982441008091	0.058545589447021484	0.9747400283813477	0.9757387042045593	0.006723240949213505	0.958851158618927	0.9841480851173401	0.9703018665313721	0.9801652431488037	0.973796010017395	0.9750573635101318	0.006443834397941828	0.958247721195221	0.9836363792419434	0.96980881690979	0.9788186550140381
17	107941	方正字汇-小组长体 简	无	8	0.9975915551185608	0.9976234436035156	0.0005841556121595204	0.9963796734809875	0.9983083009719849	0.9974587559700012	0.9979758858680725	0.035693589597940445	0.033644966781139374	0.0037755572702735662	0.03162168711423874	0.043062787503004074	0.03322689235210419	0.03710418939590454	0.04750838503241539	0.04401129484176636	0.005980001762509346	0.04124705493450165	0.05956527963280678	0.04381220042705536	0.049122851341962814	0.26660019159317017	0.2501627206802368	0.03901536017656326	0.2165721207857132	0.3452555537223816	0.24119824171066284	0.2891439199447632	0.06686859577894211	0.06478588283061981	0.007063968572765589	0.057070761919021606	0.08085495978593826	0.061778903007507324	0.06927398592233658	0.9555739164352417	0.9632308483123779	0.020628388971090317	0.8875208497047424	0.9786789417266846	0.9494384527206421	0.9706804752349854	0.9528588652610779	0.9584211707115173	0.020966894924640656	0.8856068253517151	0.9766774773597717	0.9468386173248291	0.9682599902153015
18	257873	方正藏体简体	唱	8	0.998108983039856	0.9982773065567017	0.000497823697514832	0.9972490668296814	0.9986660480499268	0.9978839755058289	0.9984039664268494	0.02919422835111618	0.02795349806547165	0.003128364449366927	0.024737093597650528	0.03425127640366554	0.027294348925352097	0.03061121702194214	0.039068616926670074	0.03733498603105545	0.004468996077775955	0.032431405037641525	0.0465787798166275	0.03672432154417038	0.04055182635784149	0.24279192090034485	0.236328125	0.043562330305576324	0.1754963994026184	0.317047119140625	0.21714790165424347	0.2734476327896118	0.05855798348784447	0.0548875592648983	0.008427129127085209	0.04917765408754349	0.07213688641786575	0.05320703983306885	0.06331796944141388	0.971432626247406	0.9727185964584351	0.006154338829219341	0.959686815738678	0.9816663265228271	0.9648793935775757	0.9762982130050659	0.9703289866447449	0.9714629650115967	0.005434134509414434	0.957622230052948	0.9795435070991516	0.9653673768043518	0.9743058681488037
19	177543	方正楼兰体 简 ExtraBold	拄	8	0.997904360294342	0.9978119730949402	0.0006239240756258368	0.9971612095832825	0.9991077780723572	0.9973326325416565	0.9982879161834717	0.031992923468351364	0.03191452473402023	0.0043107978999614716	0.023433707654476166	0.037320174276828766	0.029789045453071594	0.03487303480505943	0.04325437918305397	0.04227873682975769	0.00611440185457468	0.03080108016729355	0.05153869837522507	0.040783487260341644	0.046595025807619095	0.31112322211265564	0.29669189453125	0.05374391749501228	0.21842193603515625	0.3937174677848816	0.2856941521167755	0.340850830078125	0.06235303729772568	0.06436876952648163	0.010756312869489193	0.04109271615743637	0.07404086738824844	0.05578748509287834	0.0723361074924469	0.9690435528755188	0.9703471064567566	0.011009959504008293	0.9308328628540039	0.9823449850082397	0.9658810496330261	0.9763132929801941	0.9666656255722046	0.9707635641098022	0.01324631180614233	0.9218102693557739	0.9823657870292664	0.962631106376648	0.9749348163604736
