sample_index	font	target_char	style_chars	normal_context_vs_content_flat_cos	normal_context_vs_content_token_cos_mean	normal_context_vs_raw_style_mean_flat_cos	normal_context_vs_raw_style_mean_token_cos_mean	trimmed_context_vs_content_flat_cos	trimmed_context_vs_content_token_cos_mean	trimmed_context_vs_raw_style_mean_flat_cos	trimmed_context_vs_raw_style_mean_token_cos_mean	normal_vs_trimmed_flat_cos	normal_vs_trimmed_l1
187069	方正水云简体	卫	配定刑驹表廓	0.0014232243411242962	0.005187095608562231	-0.042837757617235184	-0.04438542574644089	0.0016718863043934107	0.005198369733989239	-0.04282000660896301	-0.04452996328473091	0.9992290139198303	0.025295134633779526
147691	方正德赛黑简体 501L	赘	示觅配部祝他	-0.019840199500322342	-0.021441154181957245	-0.0034978073090314865	-0.0056302230805158615	-0.020022086799144745	-0.02151571400463581	-0.003281434765085578	-0.005417973734438419	0.9992243051528931	0.024721402674913406
253882	方正艺黑简体	臼	哟跳堆再叁铭	0.009840844199061394	0.008015856146812439	0.03814409300684929	0.049185700714588165	0.009224667213857174	0.007468821480870247	0.03784264996647835	0.048804547637701035	0.9983837604522705	0.030440498143434525
252240	方正舒体简体	果	卧息滋啤叠贝	0.006673111580312252	-0.008498282171785831	-0.004556266590952873	-0.010151497088372707	0.0067795924842357635	-0.008467458188533783	-0.004633908160030842	-0.010254934430122375	0.9982046484947205	0.02913360297679901
269413	方正邓黑隶简体	命	炒潘蕊疆漱代	0.028973475098609924	0.030466418713331223	0.053360775113105774	0.05276372283697128	0.029149213805794716	0.030678387731313705	0.05358516424894333	0.05290490388870239	0.9962635040283203	0.0373402014374733
248122	方正美黑简体	蚯	厉坷烂鸟苍棠	0.028573274612426758	0.031251534819602966	-0.0036564331967383623	0.003287458559498191	0.028027288615703583	0.030304092913866043	-0.0034400944132357836	0.0034300843253731728	0.9985921382904053	0.029617324471473694
272964	方正锐正黑简体_纤	淋	伤呆悄盈业粒	0.027225323021411896	0.028677871450781822	-0.0067997882142663	0.0011269946116954088	0.026551244780421257	0.02787410281598568	-0.006483876146376133	0.0014572334475815296	0.9984531402587891	0.03554360568523407
34911	华康圆体W7(JULY)	路	准甲遵刚廓恤	0.031425900757312775	0.0392414852976799	-0.035260140895843506	-0.033514250069856644	0.030635610222816467	0.03797942399978638	-0.034817807376384735	-0.0331045463681221	0.9987740516662598	0.03176188841462135
38583	华康海报体简W12_P	觅	勾飒江作礼址	0.017838433384895325	0.024534065276384354	0.0024290005676448345	0.0071976762264966965	0.017692118883132935	0.024440955370664597	0.002937664045020938	0.007520616054534912	0.9982081651687622	0.02735404297709465
207252	方正瘦金书简体	川	苛计琴起俱涯	-0.01420156005769968	-0.017420172691345215	-0.007534854579716921	-0.011509725823998451	-0.013771175406873226	-0.01712080091238022	-0.007550419308245182	-0.011002417653799057	0.9980150461196899	0.02955390140414238
89592	方正卡通简体	舱	距迟爽蛔恤果	-0.007623553741723299	-0.005780096631497145	-0.029090894386172295	-0.03334510698914528	-0.007134349085390568	-0.0055497330613434315	-0.026975397020578384	-0.03164035081863403	0.9970973134040833	0.039556145668029785
292608	方正飞跃体 简 Bold	静	诊惑蜒粒盟鸯	0.018823187798261642	0.008366983383893967	-0.014029035344719887	-0.017005667090415955	0.019449271261692047	0.00908044632524252	-0.01377074420452118	-0.01673535443842411	0.998782753944397	0.02554987370967865
199040	方正清刻本悦宋简体	压	镰叨逃剑瓢寥	0.005151258781552315	0.006654295139014721	-0.006310019176453352	-0.006564409472048283	0.003994811326265335	0.005493012256920338	-0.006515422835946083	-0.007025210652500391	0.9984549283981323	0.03182400390505791
99634	方正喵呜体	琴	归弹浊们笆剖	-0.02246369794011116	-0.01536220870912075	-0.0062773507088422775	-0.01123928651213646	-0.022871144115924835	-0.015447289682924747	-0.006131350062787533	-0.011174936778843403	0.9982761144638062	0.03383748233318329
48083	方正体坛粗黑简体	巧	旁昆榆儿刺呆	0.061607152223587036	0.06877665221691132	0.02221192978322506	0.029193781316280365	0.06151643395423889	0.06916075944900513	0.020655807107686996	0.027515821158885956	0.9979648590087891	0.03879315033555031
131429	方正宋三简体	蓄	令且佃饥迅仁	-0.02489219605922699	-0.016338983550667763	-0.02572144940495491	-0.02954862266778946	-0.02532421052455902	-0.016690852120518684	-0.025764599442481995	-0.029705628752708435	0.9984773397445679	0.031894028186798096
266673	方正趣黑简体	骡	榆睡廉吓位热	0.022782661020755768	0.024941572919487953	-0.003948959056288004	-0.003582076169550419	0.022697415202856064	0.024837970733642578	-0.0034138269256800413	-0.0030724569223821163	0.9984667301177979	0.029246453195810318
138597	方正小标宋简体	塔	抬要刃济立灵	0.0029828231781721115	0.006301267072558403	-0.01872355118393898	-0.01924910955131054	0.003544808831065893	0.007042320910841227	-0.019682548940181732	-0.02026332914829254	0.998511791229248	0.030948739498853683
139578	方正少儿简体	欧	叮骨侧惋爪镰	0.027947310358285904	0.024774856865406036	-0.02650867961347103	-0.029836829751729965	0.028327321633696556	0.025343699380755424	-0.026302820071578026	-0.02956170216202736	0.9983016848564148	0.02978166565299034
277535	方正雅士黑 简	公	乙民仲谊壶副	0.014065297320485115	0.016445860266685486	-0.02300810068845749	-0.017978046089410782	0.013305420987308025	0.014797309413552284	-0.02248193696141243	-0.018091022968292236	0.997468113899231	0.038016706705093384
46323	方正乙瑛碑隶书 简	县	商逃窑尺溯熬	-0.014189939945936203	-0.017287330701947212	0.01018238440155983	0.008661598898470402	-0.015655647963285446	-0.01905881240963936	0.009031816385686398	0.0077435728162527084	0.9980507493019104	0.030671056360006332
209957	方正白舟忍者体 简	污	黄赵流真誉儿	0.00045536761172115803	-0.008924254216253757	-0.010454589501023293	-0.010127272456884384	0.0007690098136663437	-0.008941832929849625	-0.011686304584145546	-0.010738708078861237	0.9979438781738281	0.03298863768577576
245267	方正综艺简体	地	镰煮誉澳遂测	0.06897006183862686	0.07086173444986343	0.0043701413087546825	0.0038402448408305645	0.0694565623998642	0.07130846381187439	0.00449887290596962	0.00410841591656208	0.9991199970245361	0.026336368173360825
105209	方正字汇-初见体 简	单	妥茸儡气涉谜	-0.003007098799571395	-0.004437938332557678	-0.020752329379320145	-0.02625454217195511	-0.0028037726879119873	-0.004151810891926289	-0.021164141595363617	-0.026681695133447647	0.9971214532852173	0.03390466049313545
262685	方正西狭颂隶书 简	祠	溜吕单赶党说	0.025229843333363533	0.02447354421019554	0.021549303084611893	0.015228397212922573	0.025757424533367157	0.025208884850144386	0.02177455648779869	0.01521299034357071	0.9977816939353943	0.033848464488983154
